"","p_values_bf_null_both_correct","p_values_bf_null_bdoor_correct_f1_violated","p_values_bf_null_bdoor_correct_f3_violated","p_values_bf_null_fdoor_correct_b1_violated"
"1",0.696408929576384,0.909444622258365,0.428076840632434,0.0481340646496744
"2",0.677845066956624,0.90883162827842,0.18729288703055,0.427949697345442
"3",0.390311427301744,0.809025311329403,0.133384999284218,0.292622052531578
"4",0.197507902246402,0.652935036690097,0.0145967530862479,0.403647929835142
"5",0.569397888074682,0.794872512169643,0.829298373322684,0.0914805994322469
"6",0.992224197584803,0.638264745807302,0.154348174311052,0.785472459900799
"7",0.785604407175302,0.751086050983713,0.0347654614576896,0.124499544927077
"8",0.845335012533723,0.813180948731094,0.390922713005095,0.284940522463769
"9",0.986506936759526,0.798469198592624,0.860227871949765,0.617822878360242
"10",0.361972391852225,0.434352360455764,0.244447241709367,0.596843149308744
"11",0.898743251416834,0.618360553671095,0.477401222397405,0.579331005355122
"12",0.791896472647164,0.915486960048399,0.172250933610929,0.020052325280335
"13",0.450287096213886,0.755455293839028,0.861361172786148,0.118254834677199
"14",0.649866167991157,0.936486578752868,0.840936333413722,0.838675091924867
"15",0.903518084964729,0.659083894196167,0.237735474313502,0.63327718532005
"16",0.555142983209466,0.944217734122888,0.195498484398108,0.680836701430688
"17",0.602156218238651,0.973791401933764,0.228358013589375,0.309555813907916
"18",0.608477691460068,0.582753104397204,0.65581123729589,0.98349452061896
"19",0.988663269213243,0.185445428648578,0.788113993452468,0.570787603530458
"20",0.526095534182575,0.429943552505975,0.765115993526636,0.881241946170326
"21",0.514869755322584,0.493812401326893,0.459968334528334,0.872289591093557
"22",0.179470308486969,0.977783156595855,0.601511797074113,0.37465654848104
"23",0.677995757804931,0.830776828512512,0.419988237218729,0.761044430619575
"24",0.674771767813906,0.642672213629724,0.689800369034679,0.317278899004116
"25",0.955760998796978,0.877773222169924,0.165171184913441,0.215192409467525
"26",0.904162576082041,0.56130437311007,0.759730730737709,0.351076247745834
"27",0.443727201980282,0.165815803078595,0.44230240578141,0.286247053018512
"28",0.394901409805359,0.810547216658087,0.294245028373562,0.810680854021386
"29",0.487605834554922,0.599289509426831,0.874486124455965,0.0720070313004123
"30",0.991365901117001,0.986115051154395,0.317236740301938,0.121505940725464
"31",0.972056958365742,0.896712122464765,0.372040984605287,0.445925469371563
"32",0.769813110668732,0.708661330135499,0.117093332296035,0.449514111067642
"33",0.67776652900027,0.942773282959204,0.655478270732901,0.0637315330593854
"34",0.887710836853417,0.83271932360269,0.424068406688203,0.203642191604452
"35",0.897580732222668,0.67538692196394,0.572784015143641,0.484532399183549
"36",0.936916115616544,0.502435250863087,0.0907550654363336,0.7752967646561
"37",0.938058504260231,0.499524433685035,0.113035852399129,0.298194040028976
"38",0.602655120158503,0.889026309210884,0.427650020297092,0.0208792949954562
"39",0.103760757084777,0.905471515038185,0.458320336588504,0.714740959046644
"40",0.687779089470364,0.190104282998897,0.162340348758603,0.441774767301211
"41",0.794704532603982,0.919960283512348,0.992396004084449,0.968039322522999
"42",0.985129011103623,0.555671316816761,0.44680564576034,0.250351374273964
"43",0.968534826386954,0.862564759012799,0.614695628534908,0.325897981894159
"44",0.834418648512824,0.596851403860858,0.851717239395124,0.698248612752929
"45",0.952880537303375,0.894549272309975,0.326641498130689,0.459818959118563
"46",0.811518970526422,0.809864597244075,0.0442626030250718,0.0434231218504862
"47",0.457926131416314,0.776534172327253,0.0733222153000789,0.20878609393077
"48",0.664227488901961,0.920595141203445,0.814320375903742,0.775158914639383
"49",0.7777111511094,0.714300449753626,0.207342857534308,0.0257457058499075
"50",0.682722066352055,0.88643083912608,0.869325990628362,0.0719035688707468
"51",0.970020309345321,0.716862444699239,0.299939763028056,0.667842290395345
"52",0.539985883179216,0.844370376827465,0.510920824903107,0.261560133779967
"53",0.425339550764095,0.407232760078964,0.536250924110295,0.481605583019954
"54",0.434562966918871,0.797043584532091,0.28474563004598,0.418590435785091
"55",0.882982003666507,0.843398261762886,0.665372043662758,0.714708148917393
"56",0.687056063280224,0.541798073165962,0.607842372416786,0.174289199801232
"57",0.970590798245382,0.891819188423148,0.965858232145933,0.855861277019737
"58",0.932186118198206,0.976007831956289,0.456444385478152,0.895236943489157
"59",0.799892475066476,0.843460087759864,0.810273302970899,0.0887388952730648
"60",0.718371896426918,0.939831387843973,0.78625302540412,0.949122975246448
"61",0.833827638863443,0.834736822193355,0.387715032578127,0.852913137932942
"62",0.89212556280389,0.408534334520532,0.986654095755396,0.813590890471647
"63",0.801309797499905,0.939310169078839,0.931335343121549,0.613601484199558
"64",0.903148215431631,0.746857283766441,0.456204519372738,0.793269399938154
"65",0.695019376668915,0.910118944485018,0.413950315946354,0.755359441705521
"66",0.848220607802348,0.65903151460413,0.890166677188412,0.337526066446452
"67",0.93660975621397,0.742190111298102,0.796915894844676,0.139664557892348
"68",0.468884441928854,0.733535360406267,0.563076661419844,0.607730559880683
"69",0.423819962143123,0.590748203801833,0.5873104785113,0.962296813726887
"70",0.473985996376836,0.860887527087173,0.856536327274767,0.1273125911407
