"","p_values_bfi_null_all_correct","p_values_bfi_null_backdoor_iv_correct_f3_violated","p_values_bfi_null_backdoor_frontdoor_correct_i3_violated","p_values_bfi_null_fdoor_iv_correct_b1_violated","p_values_bfi_null_fdoor_correct_b1i1_violated","p_values_bfi_null_iv_correct_b1f2f3_violated","p_values_bfi_null_bdoor_correct_f3i3_violated"
"1",0.797767435207393,0.581288615537315,0.957481947843804,0.75159012413554,0.49737339571768,0.179953437947869,0.0553141367389233
"2",0.895935225899037,0.624891389304286,0.877617094362099,0.658188600639746,0.102084458114041,0.505241662346122,0.984454222559054
"3",0.878914972237163,0.955178590304479,0.729532801256474,0.690380252889456,0.94013619143806,0.268753817659315,0.902537897762467
"4",0.573321018667779,0.814534855264843,0.55034924791379,0.666709535848149,0.396555982295117,0.0829581444768384,0.901394130791982
"5",0.47638010213071,0.595481490403913,0.928908778092924,0.545855855031534,0.252766381761373,0.137356569394197,0.612303111509585
"6",0.605307119739563,0.580422622418995,0.748491117169837,0.937127880210668,0.77503306511199,0.7928220849039,0.809408043444521
"7",0.953166579146806,0.808894298927289,0.825574224855154,0.881187459026681,0.881728942367913,0.894101740056235,0.467298442664698
"8",0.773656271063918,0.304540134839558,0.833379040992698,0.711716375527641,0.358743347503715,0.400117810773495,0.746446433004731
"9",0.981265604772928,0.650452868490308,0.875544099766161,0.755556040298901,0.639588256999943,0.172723213862823,0.690620575134926
"10",0.931857043417995,0.678183281169218,0.88798805163885,0.96919093156794,0.526675739589988,0.388263653701183,0.222210656954842
"11",0.950065272328271,0.632527329869851,0.688699564038988,0.227157095754102,0.196515549543059,0.975580322421426,0.705470054737183
"12",0.797674903092544,0.377425483332184,0.868551574681722,0.836526543072271,0.232402456649945,0.0814047334702581,0.378286711647662
"13",0.985421485810336,0.514931577996141,0.998807229909802,0.327736459696805,0.820143844563848,0.610026526504968,0.290463067808817
"14",0.896255539682168,0.997418069403628,0.982156813815125,0.589537377173328,0.497496253326214,0.998146555592161,0.793945234858463
"15",0.758225253925474,0.366566799393306,0.927752301472562,0.569231042048169,0.542006418072223,0.24972715495253,0.725042442985188
