"","backdoor","frontdoor","iv","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power"
"1","TRUE","TRUE","TRUE","0","0","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N","0","250","0",NA
"2","TRUE","FALSE","TRUE","0","1","0","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","N","0","250","0",NA
"3","TRUE","TRUE","FALSE","0","0","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","N","0","250","0",NA
"4","FALSE","TRUE","TRUE","1","0","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","N","0","250","0.001",NA
"5","FALSE","TRUE","FALSE","1","0","1","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","N","0","250","0.048",NA
"6","FALSE","FALSE","TRUE","1","1","0","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","N","0","250","0.013",NA
"7","TRUE","FALSE","FALSE","0","1","0","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","N","0","250","0",NA
"8","FALSE","TRUE","FALSE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","A","10","250",NA,"0.977"
"9","FALSE","TRUE","FALSE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","A","10","250",NA,"0.577"
"10","FALSE","FALSE","TRUE","1","1","1","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","A","10","250",NA,"0.04"
"11","TRUE","FALSE","TRUE","1","1","1","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","A","10","250",NA,"0.713"
"12","TRUE","TRUE","FALSE","1","1","1","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","10","250",NA,"0.277"
"13","FALSE","TRUE","TRUE","1","1","1","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","250",NA,"0.872"
"14","TRUE","TRUE","TRUE","1","1","1","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","250",NA,"0.861"
"15","FALSE","FALSE","TRUE","1","0","1","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","A","10","250",NA,"0.002"
"16","TRUE","FALSE","FALSE","1","0","1","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","A","10","250",NA,"0.016"
"17","TRUE","FALSE","FALSE","1","1","0","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","A","10","250",NA,NA
