"","sample_size","hypothesis","beta","size_values","power_values"
"1",250,"N",0,0.066,NA
"2",250,"A",10,NA,1
"3",500,"N",0,0.051,NA
"4",500,"A",10,NA,1
"5",750,"N",0,0.062,NA
"6",750,"A",10,NA,1
"7",1000,"N",0,0.042,NA
"8",1000,"A",10,NA,1
