"","X","Backdoor","Frontdoor","IV","backdoor_true_functional","frontdoor_true_functional","iv_true_functional","b1","b2","f1","f2","f3","i1","i2","i3","i4","hypothesis","beta","sample_size","size","power","se","true_model_number","nonzero_functional_number","nonzero_functionals"
"24",25,TRUE,TRUE,FALSE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"N",0,1000,0,NA,0,2,1,"Identified functional in wrong model ≠ 0"
"25",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0.001,NA,0.00199899974987492,1,1,"Identified functional in wrong model = 0"
"26",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,1,1,"Identified functional in wrong model = 0"
"27",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,1,1,"Identified functional in wrong model = 0"
"28",2,FALSE,FALSE,TRUE,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,1,1,"Identified functional in wrong model = 0"
"29",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA,0,1,0,"Identified functional in wrong model = 0"
"30",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA,0,1,0,"Identified functional in wrong model = 0"
"31",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA,0,1,0,"Identified functional in wrong model = 0"
"32",3,FALSE,TRUE,FALSE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA,0,1,0,"Identified functional in wrong model = 0"
"33",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,2,0,"Identified functional in wrong model = 0"
"34",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,2,0,"Identified functional in wrong model = 0"
"35",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,2,0,"Identified functional in wrong model = 0"
"36",4,FALSE,TRUE,TRUE,0,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,2,0,"Identified functional in wrong model = 0"
"37",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,2,0,"Identified functional in wrong model = 0"
"38",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,2,0,"Identified functional in wrong model = 0"
"39",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,2,0,"Identified functional in wrong model = 0"
"40",5,TRUE,FALSE,TRUE,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,2,0,"Identified functional in wrong model = 0"
"41",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA,0,1,1,"Identified functional in wrong model = 0"
"42",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA,0,1,1,"Identified functional in wrong model = 0"
"43",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA,0,1,1,"Identified functional in wrong model = 0"
"44",6,TRUE,FALSE,FALSE,0,1,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA,0,1,1,"Identified functional in wrong model = 0"
"45",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,250,0,NA,0,2,0,"Identified functional in wrong model = 0"
"46",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,500,0,NA,0,2,0,"Identified functional in wrong model = 0"
"47",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,750,0,NA,0,2,0,"Identified functional in wrong model = 0"
"48",7,TRUE,TRUE,FALSE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"N",0,1000,0,NA,0,2,0,"Identified functional in wrong model = 0"
"49",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,250,0,NA,0,3,0,"Identified functional in wrong model = 0"
"50",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,500,0,NA,0,3,0,"Identified functional in wrong model = 0"
"51",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,750,0,NA,0,3,0,"Identified functional in wrong model = 0"
"52",1,TRUE,TRUE,TRUE,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"N",0,1000,0,NA,0,3,0,"Identified functional in wrong model = 0"
